"Notes"	"County"	"County Code"	"Year"	"Year Code"	Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature Standard Deviation	Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index Standard Deviation	Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress Standard Deviation	Population	Average Population
	"Conway County, AR"	"05029"	"1981"	"1981"	5	5.00	0.00	7	7.00	0.00	7	7.00	0.00	19334	19334.00
"Total"	"Conway County, AR"	"05029"			Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	19334	19334.00
	"Craighead County, AR"	"05031"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	9	9.00	0.00	63424	63424.00
"Total"	"Craighead County, AR"	"05031"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	9.00	0.00	63424	63424.00
	"Crawford County, AR"	"05033"	"1981"	"1981"	7	7.00	0.00	7	7.00	0.00	9	9.00	0.00	36993	36993.00
"Total"	"Crawford County, AR"	"05033"			Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	Not Applicable	9.00	0.00	36993	36993.00
	"Crittenden County, AR"	"05035"	"1981"	"1981"	0	0.00	0.00	8	8.00	0.00	13	13.00	0.00	49459	49459.00
"Total"	"Crittenden County, AR"	"05035"			Not Applicable	0.00	0.00	Not Applicable	8.00	0.00	Not Applicable	13.00	0.00	49459	49459.00
	"Cross County, AR"	"05037"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	10	10.00	0.00	20551	20551.00
"Total"	"Cross County, AR"	"05037"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	20551	20551.00
	"Dallas County, AR"	"05039"	"1981"	"1981"	2	2.00	0.00	6	6.00	0.00	9	9.00	0.00	10475	10475.00
"Total"	"Dallas County, AR"	"05039"			Not Applicable	2.00	0.00	Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	10475	10475.00
	"Desha County, AR"	"05041"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	7	7.00	0.00	19540	19540.00
"Total"	"Desha County, AR"	"05041"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	19540	19540.00
	"Drew County, AR"	"05043"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	5	5.00	0.00	17949	17949.00
"Total"	"Drew County, AR"	"05043"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	17949	17949.00
	"Faulkner County, AR"	"05045"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	7	7.00	0.00	46839	46839.00
"Total"	"Faulkner County, AR"	"05045"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	46839	46839.00
	"Franklin County, AR"	"05047"	"1981"	"1981"	7	7.00	0.00	8	8.00	0.00	8	8.00	0.00	14624	14624.00
"Total"	"Franklin County, AR"	"05047"			Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	14624	14624.00
	"Fulton County, AR"	"05049"	"1981"	"1981"	7	7.00	0.00	3	3.00	0.00	6	6.00	0.00	9940	9940.00
"Total"	"Fulton County, AR"	"05049"			Not Applicable	7.00	0.00	Not Applicable	3.00	0.00	Not Applicable	6.00	0.00	9940	9940.00
	"Garland County, AR"	"05051"	"1981"	"1981"	2	2.00	0.00	6	6.00	0.00	6	6.00	0.00	70456	70456.00
"Total"	"Garland County, AR"	"05051"			Not Applicable	2.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	70456	70456.00
	"Grant County, AR"	"05053"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	6	6.00	0.00	12967	12967.00
"Total"	"Grant County, AR"	"05053"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	12967	12967.00
	"Greene County, AR"	"05055"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	10	10.00	0.00	30580	30580.00
"Total"	"Greene County, AR"	"05055"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	30580	30580.00
	"Hempstead County, AR"	"05057"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	9	9.00	0.00	23311	23311.00
"Total"	"Hempstead County, AR"	"05057"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	23311	23311.00
	"Hot Spring County, AR"	"05059"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	9	9.00	0.00	26623	26623.00
"Total"	"Hot Spring County, AR"	"05059"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	26623	26623.00
	"Howard County, AR"	"05061"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	6	6.00	0.00	13469	13469.00
"Total"	"Howard County, AR"	"05061"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	13469	13469.00
	"Independence County, AR"	"05063"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	6	6.00	0.00	30795	30795.00
"Total"	"Independence County, AR"	"05063"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	6.00	0.00	30795	30795.00
	"Izard County, AR"	"05065"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	6	6.00	0.00	10768	10768.00
"Total"	"Izard County, AR"	"05065"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	6.00	0.00	10768	10768.00
	"Jackson County, AR"	"05067"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	8	8.00	0.00	21305	21305.00
"Total"	"Jackson County, AR"	"05067"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	8.00	0.00	21305	21305.00
	"Jefferson County, AR"	"05069"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	8	8.00	0.00	90660	90660.00
"Total"	"Jefferson County, AR"	"05069"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	8.00	0.00	90660	90660.00
	"Johnson County, AR"	"05071"	"1981"	"1981"	6	6.00	0.00	7	7.00	0.00	8	8.00	0.00	17723	17723.00
"Total"	"Johnson County, AR"	"05071"			Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	17723	17723.00
	"Lafayette County, AR"	"05073"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	8	8.00	0.00	10167	10167.00
"Total"	"Lafayette County, AR"	"05073"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	8.00	0.00	10167	10167.00
	"Lawrence County, AR"	"05075"	"1981"	"1981"	2	2.00	0.00	3	3.00	0.00	10	10.00	0.00	18624	18624.00
"Total"	"Lawrence County, AR"	"05075"			Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	Not Applicable	10.00	0.00	18624	18624.00
	"Lee County, AR"	"05077"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	9	9.00	0.00	15584	15584.00
"Total"	"Lee County, AR"	"05077"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	15584	15584.00
	"Lincoln County, AR"	"05079"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	5	5.00	0.00	13406	13406.00
"Total"	"Lincoln County, AR"	"05079"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	13406	13406.00
	"Little River County, AR"	"05081"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	6	6.00	0.00	14004	14004.00
"Total"	"Little River County, AR"	"05081"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	14004	14004.00
	"Logan County, AR"	"05083"	"1981"	"1981"	6	6.00	0.00	8	8.00	0.00	8	8.00	0.00	20207	20207.00
"Total"	"Logan County, AR"	"05083"			Not Applicable	6.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	20207	20207.00
	"Lonoke County, AR"	"05085"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	9	9.00	0.00	34684	34684.00
"Total"	"Lonoke County, AR"	"05085"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	34684	34684.00
	"Madison County, AR"	"05087"	"1981"	"1981"	8	8.00	0.00	5	5.00	0.00	6	6.00	0.00	11318	11318.00
"Total"	"Madison County, AR"	"05087"			Not Applicable	8.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	11318	11318.00
	"Marion County, AR"	"05089"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	4	4.00	0.00	11394	11394.00
"Total"	"Marion County, AR"	"05089"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	11394	11394.00
	"Miller County, AR"	"05091"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	8	8.00	0.00	38182	38182.00
"Total"	"Miller County, AR"	"05091"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	8.00	0.00	38182	38182.00
	"Mississippi County, AR"	"05093"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	9	9.00	0.00	59128	59128.00
"Total"	"Mississippi County, AR"	"05093"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	59128	59128.00
	"Monroe County, AR"	"05095"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	11	11.00	0.00	13762	13762.00
"Total"	"Monroe County, AR"	"05095"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	11.00	0.00	13762	13762.00
	"Montgomery County, AR"	"05097"	"1981"	"1981"	2	2.00	0.00	6	6.00	0.00	6	6.00	0.00	7598	7598.00
"Total"	"Montgomery County, AR"	"05097"			Not Applicable	2.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	7598	7598.00
	"Nevada County, AR"	"05099"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	8	8.00	0.00	11045	11045.00
"Total"	"Nevada County, AR"	"05099"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	8.00	0.00	11045	11045.00
	"Newton County, AR"	"05101"	"1981"	"1981"	5	5.00	0.00	3	3.00	0.00	3	3.00	0.00	7680	7680.00
"Total"	"Newton County, AR"	"05101"			Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	7680	7680.00
	"Ouachita County, AR"	"05103"	"1981"	"1981"	2	2.00	0.00	7	7.00	0.00	7	7.00	0.00	30763	30763.00
"Total"	"Ouachita County, AR"	"05103"			Not Applicable	2.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	30763	30763.00
	"Perry County, AR"	"05105"	"1981"	"1981"	3	3.00	0.00	7	7.00	0.00	7	7.00	0.00	7383	7383.00
"Total"	"Perry County, AR"	"05105"			Not Applicable	3.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	7383	7383.00
	"Phillips County, AR"	"05107"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	9	9.00	0.00	34321	34321.00
"Total"	"Phillips County, AR"	"05107"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	34321	34321.00
	"Pike County, AR"	"05109"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	8	8.00	0.00	10301	10301.00
"Total"	"Pike County, AR"	"05109"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	8.00	0.00	10301	10301.00
	"Poinsett County, AR"	"05111"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	9	9.00	0.00	26658	26658.00
"Total"	"Poinsett County, AR"	"05111"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	9.00	0.00	26658	26658.00
	"Polk County, AR"	"05113"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	6	6.00	0.00	17274	17274.00
"Total"	"Polk County, AR"	"05113"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	17274	17274.00
	"Pope County, AR"	"05115"	"1981"	"1981"	6	6.00	0.00	7	7.00	0.00	7	7.00	0.00	40035	40035.00
"Total"	"Pope County, AR"	"05115"			Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	40035	40035.00
	"Prairie County, AR"	"05117"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	11	11.00	0.00	10080	10080.00
"Total"	"Prairie County, AR"	"05117"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	11.00	0.00	10080	10080.00
	"Pulaski County, AR"	"05119"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	7	7.00	0.00	342971	342971.00
"Total"	"Pulaski County, AR"	"05119"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	342971	342971.00
	"Randolph County, AR"	"05121"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	9	9.00	0.00	16538	16538.00
"Total"	"Randolph County, AR"	"05121"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	16538	16538.00
	"St. Francis County, AR"	"05123"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	10	10.00	0.00	30863	30863.00
"Total"	"St. Francis County, AR"	"05123"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	10.00	0.00	30863	30863.00
	"Saline County, AR"	"05125"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	8	8.00	0.00	53970	53970.00
"Total"	"Saline County, AR"	"05125"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	8.00	0.00	53970	53970.00
	"Scott County, AR"	"05127"	"1981"	"1981"	3	3.00	0.00	8	8.00	0.00	8	8.00	0.00	9632	9632.00
"Total"	"Scott County, AR"	"05127"			Not Applicable	3.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	9632	9632.00
	"Searcy County, AR"	"05129"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	3	3.00	0.00	8681	8681.00
"Total"	"Searcy County, AR"	"05129"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	8681	8681.00
	"Sebastian County, AR"	"05131"	"1981"	"1981"	7	7.00	0.00	7	7.00	0.00	8	8.00	0.00	95999	95999.00
"Total"	"Sebastian County, AR"	"05131"			Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	95999	95999.00
	"Sevier County, AR"	"05133"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	6	6.00	0.00	14081	14081.00
"Total"	"Sevier County, AR"	"05133"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	14081	14081.00
	"Sharp County, AR"	"05135"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	8	8.00	0.00	14688	14688.00
"Total"	"Sharp County, AR"	"05135"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	8.00	0.00	14688	14688.00
	"Stone County, AR"	"05137"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	4	4.00	0.00	9109	9109.00
"Total"	"Stone County, AR"	"05137"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	9109	9109.00
	"Union County, AR"	"05139"	"1981"	"1981"	3	3.00	0.00	5	5.00	0.00	7	7.00	0.00	48535	48535.00
"Total"	"Union County, AR"	"05139"			Not Applicable	3.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	48535	48535.00
	"Van Buren County, AR"	"05141"	"1981"	"1981"	4	4.00	0.00	5	5.00	0.00	5	5.00	0.00	13293	13293.00
"Total"	"Van Buren County, AR"	"05141"			Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	13293	13293.00
	"Washington County, AR"	"05143"	"1981"	"1981"	8	8.00	0.00	7	7.00	0.00	7	7.00	0.00	101316	101316.00
"Total"	"Washington County, AR"	"05143"			Not Applicable	8.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	101316	101316.00
	"White County, AR"	"05145"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	5	5.00	0.00	51390	51390.00
"Total"	"White County, AR"	"05145"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	51390	51390.00
	"Woodruff County, AR"	"05147"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	10	10.00	0.00	11109	11109.00
"Total"	"Woodruff County, AR"	"05147"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	10.00	0.00	11109	11109.00
	"Yell County, AR"	"05149"	"1981"	"1981"	6	6.00	0.00	8	8.00	0.00	8	8.00	0.00	17049	17049.00
"Total"	"Yell County, AR"	"05149"			Not Applicable	6.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	17049	17049.00
	"Alameda County, CA"	"06001"	"1981"	"1981"	6	6.00	0.00	6	6.00	0.00	5	5.00	0.00	1128622	1128622.00
"Total"	"Alameda County, CA"	"06001"			Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	Not Applicable	5.00	0.00	1128622	1128622.00
	"Alpine County, CA"	"06003"	"1981"	"1981"	8	8.00	0.00	7	7.00	0.00	0	0.00	0.00	1141	1141.00
"Total"	"Alpine County, CA"	"06003"			Not Applicable	8.00	0.00	Not Applicable	7.00	0.00	Not Applicable	0.00	0.00	1141	1141.00
	"Amador County, CA"	"06005"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	3	3.00	0.00	20243	20243.00
"Total"	"Amador County, CA"	"06005"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	20243	20243.00
	"Butte County, CA"	"06007"	"1981"	"1981"	7	7.00	0.00	6	6.00	0.00	5	5.00	0.00	148759	148759.00
"Total"	"Butte County, CA"	"06007"			Not Applicable	7.00	0.00	Not Applicable	6.00	0.00	Not Applicable	5.00	0.00	148759	148759.00
	"Calaveras County, CA"	"06009"	"1981"	"1981"	6	6.00	0.00	4	4.00	0.00	3	3.00	0.00	21678	21678.00
"Total"	"Calaveras County, CA"	"06009"			Not Applicable	6.00	0.00	Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	21678	21678.00
	"Colusa County, CA"	"06011"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	5	5.00	0.00	13244	13244.00
"Total"	"Colusa County, CA"	"06011"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	13244	13244.00
	"Contra Costa County, CA"	"06013"	"1981"	"1981"	5	5.00	0.00	7	7.00	0.00	7	7.00	0.00	667636	667636.00
"Total"	"Contra Costa County, CA"	"06013"			Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	667636	667636.00
	"Del Norte County, CA"	"06015"	"1981"	"1981"	10	10.00	0.00	8	8.00	0.00	0	0.00	0.00	18827	18827.00
"Total"	"Del Norte County, CA"	"06015"			Not Applicable	10.00	0.00	Not Applicable	8.00	0.00	Not Applicable	0.00	0.00	18827	18827.00
	"El Dorado County, CA"	"06017"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	3	3.00	0.00	89610	89610.00
"Total"	"El Dorado County, CA"	"06017"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	89610	89610.00
	"Fresno County, CA"	"06019"	"1981"	"1981"	9	9.00	0.00	3	3.00	0.00	3	3.00	0.00	530636	530636.00
"Total"	"Fresno County, CA"	"06019"			Not Applicable	9.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	530636	530636.00
	"Glenn County, CA"	"06021"	"1981"	"1981"	6	6.00	0.00	7	7.00	0.00	5	5.00	0.00	22049	22049.00
"Total"	"Glenn County, CA"	"06021"			Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	Not Applicable	5.00	0.00	22049	22049.00
	"Humboldt County, CA"	"06023"	"1981"	"1981"	7	7.00	0.00	6	6.00	0.00	3	3.00	0.00	110698	110698.00
"Total"	"Humboldt County, CA"	"06023"			Not Applicable	7.00	0.00	Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	110698	110698.00
	"Imperial County, CA"	"06025"	"1981"	"1981"	13	13.00	0.00	10	10.00	0.00	12	12.00	0.00	94915	94915.00
"Total"	"Imperial County, CA"	"06025"			Not Applicable	13.00	0.00	Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	94915	94915.00
	"Inyo County, CA"	"06027"	"1981"	"1981"	9	9.00	0.00	3	3.00	0.00	3	3.00	0.00	17995	17995.00
"Total"	"Inyo County, CA"	"06027"			Not Applicable	9.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	17995	17995.00
	"Kern County, CA"	"06029"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	3	3.00	0.00	420086	420086.00
"Total"	"Kern County, CA"	"06029"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	420086	420086.00
	"Kings County, CA"	"06031"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	3	3.00	0.00	76387	76387.00
"Total"	"Kings County, CA"	"06031"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	76387	76387.00
	"Lake County, CA"	"06033"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	5	5.00	0.00	38686	38686.00
"Total"	"Lake County, CA"	"06033"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	38686	38686.00
	"Lassen County, CA"	"06035"	"1981"	"1981"	7	7.00	0.00	6	6.00	0.00	3	3.00	0.00	22625	22625.00
"Total"	"Lassen County, CA"	"06035"			Not Applicable	7.00	0.00	Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	22625	22625.00
	"Los Angeles County, CA"	"06037"	"1981"	"1981"	6	6.00	0.00	5	5.00	0.00	5	5.00	0.00	7630443	7630443.00
"Total"	"Los Angeles County, CA"	"06037"			Not Applicable	6.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	7630443	7630443.00
	"Madera County, CA"	"06039"	"1981"	"1981"	9	9.00	0.00	2	2.00	0.00	3	3.00	0.00	67294	67294.00
"Total"	"Madera County, CA"	"06039"			Not Applicable	9.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	67294	67294.00
	"Marin County, CA"	"06041"	"1981"	"1981"	2	2.00	0.00	0	0.00	0.00	0	0.00	0.00	224087	224087.00
"Total"	"Marin County, CA"	"06041"			Not Applicable	2.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	224087	224087.00
	"Mariposa County, CA"	"06043"	"1981"	"1981"	9	9.00	0.00	3	3.00	0.00	3	3.00	0.00	11565	11565.00
"Total"	"Mariposa County, CA"	"06043"			Not Applicable	9.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	11565	11565.00
	"Mendocino County, CA"	"06045"	"1981"	"1981"	5	5.00	0.00	7	7.00	0.00	4	4.00	0.00	68533	68533.00
"Total"	"Mendocino County, CA"	"06045"			Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	Not Applicable	4.00	0.00	68533	68533.00
	"Merced County, CA"	"06047"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	3	3.00	0.00	140056	140056.00
"Total"	"Merced County, CA"	"06047"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	140056	140056.00
	"Modoc County, CA"	"06049"	"1981"	"1981"	8	8.00	0.00	8	8.00	0.00	2	2.00	0.00	9014	9014.00
"Total"	"Modoc County, CA"	"06049"			Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	Not Applicable	2.00	0.00	9014	9014.00
	"Mono County, CA"	"06051"	"1981"	"1981"	13	13.00	0.00	8	8.00	0.00	0	0.00	0.00	8919	8919.00
"Total"	"Mono County, CA"	"06051"			Not Applicable	13.00	0.00	Not Applicable	8.00	0.00	Not Applicable	0.00	0.00	8919	8919.00
	"Monterey County, CA"	"06053"	"1981"	"1981"	6	6.00	0.00	8	8.00	0.00	8	8.00	0.00	300678	300678.00
"Total"	"Monterey County, CA"	"06053"			Not Applicable	6.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	300678	300678.00
	"Napa County, CA"	"06055"	"1981"	"1981"	6	6.00	0.00	4	4.00	0.00	4	4.00	0.00	99720	99720.00
"Total"	"Napa County, CA"	"06055"			Not Applicable	6.00	0.00	Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	99720	99720.00
	"Nevada County, CA"	"06057"	"1981"	"1981"	7	7.00	0.00	3	3.00	0.00	4	4.00	0.00	56330	56330.00
"Total"	"Nevada County, CA"	"06057"			Not Applicable	7.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	56330	56330.00
	"Orange County, CA"	"06059"	"1981"	"1981"	13	13.00	0.00	5	5.00	0.00	5	5.00	0.00	2009947	2009947.00
"Total"	"Orange County, CA"	"06059"			Not Applicable	13.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	2009947	2009947.00
	"Placer County, CA"	"06061"	"1981"	"1981"	7	7.00	0.00	3	3.00	0.00	3	3.00	0.00	122563	122563.00
"Total"	"Placer County, CA"	"06061"			Not Applicable	7.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	122563	122563.00
	"Plumas County, CA"	"06063"	"1981"	"1981"	14	14.00	0.00	11	11.00	0.00	0	0.00	0.00	17837	17837.00
"Total"	"Plumas County, CA"	"06063"			Not Applicable	14.00	0.00	Not Applicable	11.00	0.00	Not Applicable	0.00	0.00	17837	17837.00
	"Riverside County, CA"	"06065"	"1981"	"1981"	12	12.00	0.00	8	8.00	0.00	8	8.00	0.00	694831	694831.00
"Total"	"Riverside County, CA"	"06065"			Not Applicable	12.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	694831	694831.00
	"Sacramento County, CA"	"06067"	"1981"	"1981"	4	4.00	0.00	4	4.00	0.00	3	3.00	0.00	807830	807830.00
"Total"	"Sacramento County, CA"	"06067"			Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	807830	807830.00
	"San Benito County, CA"	"06069"	"1981"	"1981"	8	8.00	0.00	8	8.00	0.00	6	6.00	0.00	25976	25976.00
"Total"	"San Benito County, CA"	"06069"			Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	Not Applicable	6.00	0.00	25976	25976.00
	"San Bernardino County, CA"	"06071"	"1981"	"1981"	12	12.00	0.00	7	7.00	0.00	8	8.00	0.00	934105	934105.00
"Total"	"San Bernardino County, CA"	"06071"			Not Applicable	12.00	0.00	Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	934105	934105.00
	"San Diego County, CA"	"06073"	"1981"	"1981"	18	18.00	0.00	10	10.00	0.00	8	8.00	0.00	1931813	1931813.00
"Total"	"San Diego County, CA"	"06073"			Not Applicable	18.00	0.00	Not Applicable	10.00	0.00	Not Applicable	8.00	0.00	1931813	1931813.00
	"San Francisco County, CA"	"06075"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	689150	689150.00
